name,glycemic_index,carbohydrates,fiber,protein,fat,processing_level,serving_size_grams
beef instant noodle pack,69,45.9,2.3,9.4,17.4,ultra_processed,93
ground lean beef stewed,0,0.0,0.0,21.2,24.3,minimally_processed,93
lemon-lime soda,74,39.1,0.0,0.0,0.0,ultra_processed,326
ground chicken baked,0,0.0,0.0,21.7,12.7,minimally_processed,93
white rice steamed,104,27.2,1.7,2.8,0.4,processed,154
hazelnut nut,4,19.3,9.2,24.5,59.9,minimally_processed,30
spinach leafy green pureed,15,4.3,2.7,1.6,0.2,whole,30
black grape frozen,62,19.1,1.2,0.8,0.1,whole,85
lobster seafood stewed,0,1.1,0.0,19.6,1.4,minimally_processed,99
kale chips plain,68,57.8,4.7,8.1,33.6,ultra_processed,28
white bread stale,72,54.5,6.8,9.4,3.1,processed,28
spaghetti squash sauteed,61,5.8,2.0,1.7,0.2,whole,113
bean taco hard shell,45,28.9,3.8,16.3,17.4,processed,95
butter lettuce leafy green,19,3.4,2.9,2.3,0.2,whole,28
shrimp seafood poached,0,1.4,0.0,16.4,1.8,minimally_processed,106
strawberry jam,61,67.1,1.5,0.2,0.1,processed,20
tilapia fish roasted,0,0.0,0.0,19.8,5.2,minimally_processed,95
jalapeno pepper sauteed,19,4.0,1.8,1.1,0.4,whole,139
watercress leafy green grilled,17,4.8,2.7,1.9,0.4,whole,29
kohlrabi cruciferous,19,4.9,3.0,3.2,0.3,whole,91
basmati rice steamed,99,26.3,0.8,3.1,0.4,processed,167
butter lettuce leafy green sauteed,11,2.7,1.9,3.5,0.4,whole,29
drumstick chicken poached,0,0.0,0.0,23.3,5.4,minimally_processed,99
ground lean beef braised,0,0.0,0.0,20.4,18.1,minimally_processed,108
tortilla chips baked,60,54.0,7.9,7.4,28.5,ultra_processed,30
arborio rice cooked,66,21.9,2.5,3.2,0.5,processed,149
canned corn cooked,48,18.8,3.0,3.1,1.1,processed,151
chocolate croissant,68,54.4,2.8,8.6,22.8,processed,51
caramel popcorn,55,61.6,13.0,8.3,10.7,minimally_processed,29
ginger tea iced,13,2.8,0.0,0.1,0.0,minimally_processed,250
beef taco hard shell,57,33.9,5.4,20.7,14.2,processed,96
purple potato mashed,69,17.1,2.7,3.0,2.3,processed,147
flax seed,13,7.0,11.3,23.4,45.9,minimally_processed,27
shallot onion sauteed,17,8.1,1.9,1.2,0.1,whole,170
strawberry berry dried,27,11.0,7.9,1.4,0.5,whole,156
brown rice boiled,103,20.3,0.6,2.8,0.4,processed,150
red potato roasted,60,21.1,3.7,1.6,8.4,processed,151
collard greens leafy green pickled,14,3.9,2.0,3.3,0.4,whole,27
lime juice canned,64,14.6,0.1,0.8,0.2,processed,233
beefsteak tomato,16,5.0,1.3,1.0,0.2,processed,185
fuji apple baked,31,15.3,2.0,0.4,0.1,whole,194
black-eyed pea cooked,33,13.6,6.2,5.6,0.5,minimally_processed,153
crab seafood poached,0,0.1,0.0,23.9,1.7,minimally_processed,100
sardines fish roasted,0,0.0,0.0,24.7,4.0,minimally_processed,93
crab seafood smoked,0,2.4,0.0,21.4,1.6,minimally_processed,100
brown lentil refried,34,18.7,8.8,9.2,0.4,minimally_processed,199
portobello mushroom sauteed,13,2.8,1.7,3.4,0.5,whole,63
coconut milk,36,1.1,1.2,7.9,1.6,minimally_processed,253
old fashioned oats porridge,57,67.4,11.6,16.2,6.1,minimally_processed,79
pb and j sandwich on wheat,58,48.0,2.0,34.0,21.6,processed,164
flax tempeh baked,12,9.9,0.0,20.3,9.3,processed,107
turkey sandwich on wheat,68,42.8,4.0,30.6,10.5,processed,141
artichoke dip,39,6.1,2.0,3.8,16.1,processed,31
chop pork smoked,0,1.1,0.0,20.5,22.7,minimally_processed,93
teriyaki sauce,30,15.6,1.1,1.9,9.2,processed,30
purple potato fried,71,18.7,4.0,1.7,2.2,whole,150
golden delicious apple baked,31,14.0,3.5,0.5,0.2,whole,164
chop pork pan-seared,0,1.9,0.0,24.2,7.7,processed,106
andouille sausage roasted,3,0.2,0.0,19.6,17.2,processed,85
serrano pepper grilled,12,6.3,2.0,1.2,0.3,whole,138
canned corn,59,19.4,2.9,3.6,1.4,processed,139
rotisserie chicken stewed,0,0.0,0.0,22.5,4.9,minimally_processed,104
ground turkey poached,0,0.4,0.0,28.3,7.6,minimally_processed,96
fruit and nut trail mix,29,54.7,6.5,11.5,37.5,processed,38
black rice boiled,88,29.6,2.4,2.5,0.6,processed,158
whole chicken braised,0,0.0,0.0,28.0,6.4,minimally_processed,99
bell orange pepper,17,5.1,1.7,1.5,0.4,whole,147
jasmine tea sweetened,17,6.4,0.0,0.0,0.0,minimally_processed,249
parsnip root vegetable sauteed,48,10.4,3.2,1.3,0.3,whole,123
pink lady apple baked,31,12.2,2.8,0.2,0.3,whole,197
pork sausage pan-seared,15,2.8,0.0,17.0,23.2,processed,87
sunflower oil,0,0.0,0.0,0.0,100.0,minimally_processed,13
cabbage cruciferous sauteed,18,6.6,3.5,2.5,0.4,whole,91
honeydew melon,68,7.3,0.7,0.8,0.2,whole,155
navy bean canned,39,20.4,6.8,9.1,0.7,minimally_processed,172
buttermilk waffle,72,47.2,2.9,9.6,13.0,processed,78
ribeye beef roasted,0,0.0,0.0,25.5,5.1,minimally_processed,92
clams seafood baked,0,1.3,0.0,19.0,1.2,minimally_processed,92
whole egg,0,1.2,0.0,12.1,11.5,minimally_processed,50
cold brew coffee hot,27,3.3,0.0,1.6,3.3,minimally_processed,262
red delicious apple baked,39,13.7,3.3,0.5,0.1,whole,180
oolong tea hot,19,3.8,0.0,0.2,0.0,minimally_processed,220
white onion steamed,19,9.3,1.7,1.2,0.1,whole,168
thigh turkey stewed,0,0.1,0.0,27.6,7.9,minimally_processed,102
cauliflower cruciferous pickled,15,5.2,2.5,2.3,0.2,whole,98
loin pork poached,0,1.6,0.0,22.2,16.2,processed,96
yukon gold potato fried,76,24.7,3.6,2.3,2.2,whole,138
blt sandwich on white,46,45.2,4.9,16.9,18.9,processed,159
jalapeno pepper pickled,14,6.4,2.1,1.5,0.3,whole,155
caesar salad dressing,38,9.8,0.1,0.5,28.6,processed,28
mandarin orange juiced,49,11.3,2.0,0.9,0.2,whole,143
tricolor quinoa steamed,51,21.9,2.6,4.4,1.9,minimally_processed,171
red lentil refried,27,20.4,9.9,8.1,0.6,minimally_processed,212
breast turkey poached,0,0.1,0.0,25.6,1.0,minimally_processed,97
ginger ale soda,74,26.2,0.0,0.0,0.0,ultra_processed,357
thigh turkey pan-seared,0,0.4,0.0,25.3,5.2,minimally_processed,97
whole wheat pasta al dente,35,27.8,1.8,5.1,0.9,processed,131
mandarin canned fruit in juice,61,26.7,1.1,0.4,0.0,processed,121
roast beef grilled,0,0.0,0.0,24.5,12.1,minimally_processed,108
cod fish poached,0,0.0,0.0,24.2,7.6,minimally_processed,97
grapefruit juice fresh,67,14.8,0.4,0.6,0.1,processed,243
black bean canned,32,27.3,7.2,7.0,0.6,minimally_processed,180
chocolate ice cream,52,22.8,0.7,4.9,14.4,processed,68
potato chips salted,52,60.0,3.5,9.8,33.5,ultra_processed,26
pomegranate juice fresh,64,14.6,0.0,1.9,0.1,processed,244
white bread toasted,78,43.7,6.3,14.8,3.7,processed,28
button mushroom pureed,20,2.7,1.6,3.1,0.5,whole,67
banana pancake plain,68,56.6,1.3,11.0,13.4,processed,79
fettuccine pasta cooked,47,27.3,3.2,5.3,1.7,processed,142
bison burger double,56,32.3,2.0,25.1,38.5,processed,139
red onion pureed,18,7.0,1.9,1.4,0.1,whole,146
breast chicken baked,0,0.0,0.0,26.3,1.6,minimally_processed,99
jalapeno pepper,11,6.1,2.4,1.3,0.2,whole,159
rutabaga root vegetable roasted,30,9.4,3.4,1.1,0.2,whole,129
ground regular beef pan-seared,0,0.0,0.0,26.2,23.9,minimally_processed,90
green banana,58,21.1,2.6,1.1,0.4,whole,123
yellow onion sauteed,20,9.7,1.6,1.2,0.2,whole,150
bell orange pepper sauteed,17,4.1,1.9,1.3,0.3,whole,144
poppy seed roasted,4,23.2,10.5,28.8,49.2,minimally_processed,27
whole wheat pasta overcooked,53,26.7,3.6,4.6,1.7,processed,153
chicken taco soft shell,51,32.5,5.5,20.6,18.3,processed,94
bok choy cruciferous,14,5.2,2.8,2.9,0.3,whole,85
pumpernickel bread stale,70,42.0,2.8,8.5,4.8,processed,29
pink lady apple,38,13.2,2.1,0.3,0.1,whole,187
bagel bread toasted,66,41.9,7.4,12.3,4.7,processed,25
cod fish braised,0,0.0,0.0,19.9,5.8,minimally_processed,100
hawaiian pizza regular crust,54,29.6,3.0,10.4,17.8,processed,111
herbal tea iced,21,4.7,0.0,0.4,0.0,minimally_processed,237
black grape,60,18.4,0.8,0.9,0.2,whole,96
drumstick chicken baked,0,0.0,0.0,27.8,14.3,minimally_processed,109
soft tofu grilled,17,1.3,1.2,8.2,5.9,processed,90
ripe banana,58,23.0,2.6,1.3,0.2,whole,129
cabbage cruciferous,20,5.3,2.5,1.9,0.4,whole,82
steel cut oats porridge,45,64.1,10.8,17.6,6.8,minimally_processed,73
mashed avocado ripe,14,8.6,6.4,2.0,14.9,whole,137
beet root vegetable,47,10.5,2.9,1.5,0.3,whole,140
corn muffin,56,56.3,3.7,7.3,22.9,processed,62
zucchini squash,68,8.7,1.4,1.2,0.1,whole,130
tilapia fish grilled,0,0.0,0.0,27.5,10.1,minimally_processed,103
swiss chard leafy green steamed,16,4.1,1.6,2.5,0.5,whole,30
mac and cheese frozen meal,48,33.7,4.2,20.4,15.5,processed,300
clams seafood poached,0,3.0,0.0,20.1,1.9,minimally_processed,99
cheerios cereal with milk,85,80.5,12.0,11.4,13.4,processed,28
bratwurst sausage baked,9,3.7,0.0,17.2,31.9,processed,84
shrimp dumpling fried,45,32.2,2.0,12.7,7.7,processed,100
kohlrabi cruciferous roasted,14,6.2,2.7,2.0,0.4,whole,85
cheese omelette,8,2.4,0.7,16.0,16.7,minimally_processed,128
chicken instant noodle cup,55,45.6,3.1,10.2,21.7,ultra_processed,87
soba noodle dish stir fried,55,41.4,3.9,21.2,15.3,processed,320
crab seafood grilled,0,0.2,0.0,19.9,0.7,minimally_processed,95
sourdough bread toasted,52,48.6,6.0,13.8,2.8,processed,28
chai tea sweetened,17,4.5,0.0,0.3,0.0,minimally_processed,257
jasmine rice cooked,63,26.6,2.2,2.7,0.8,processed,144
beefsteak tomato canned,16,3.1,1.3,1.1,0.2,whole,167
kielbasa sausage pan-seared,5,3.3,0.0,16.6,19.9,processed,80
nectarine stone fruit dried,38,10.0,2.2,1.1,0.3,whole,151
pumpkin squash roasted,32,9.9,1.3,1.1,0.3,whole,131
sesame seed salted,11,19.8,14.1,22.2,42.4,minimally_processed,27
plain tempeh steamed,13,8.4,0.0,18.7,9.3,processed,106
drumstick chicken stewed,0,0.0,0.0,29.7,2.6,minimally_processed,102
breakfast burrito whole wheat tortilla,54,64.8,9.9,24.3,21.7,processed,274
maitake mushroom,19,2.6,1.5,3.4,0.4,whole,76
red quinoa cooked,54,21.8,2.7,5.0,1.8,minimally_processed,202
fruit energy bar,57,64.3,4.9,14.4,19.8,processed,61
romaine leafy green pickled,19,2.0,2.3,3.3,0.4,whole,29
tenderloin beef smoked,0,0.0,0.0,25.1,18.4,minimally_processed,91
purple potato baked,90,16.1,3.0,2.4,3.9,whole,151
ribeye beef stewed,0,0.0,0.0,23.1,21.9,minimally_processed,90
wing chicken grilled,0,0.0,0.0,26.4,13.9,minimally_processed,95
turkey sausage roasted,13,4.6,0.0,18.8,20.4,processed,90
red lentil canned,31,20.5,7.6,8.2,0.6,minimally_processed,216
lasagna pasta cooked,53,21.1,3.3,6.0,1.5,processed,153
cheese cracker,60,69.8,6.8,9.9,12.2,processed,27
nut energy bar,61,56.3,4.1,11.5,22.6,processed,64
cauliflower cruciferous grilled,10,4.7,2.5,3.3,0.5,whole,99
cannellini bean refried,34,26.6,9.3,8.9,0.8,minimally_processed,165
mango juice from concentrate,48,12.2,0.2,1.8,0.1,processed,270
tuna fish stewed,0,0.0,0.0,26.2,4.5,minimally_processed,109
drumstick chicken grilled,0,0.0,0.0,30.3,5.9,minimally_processed,107
sprite soda,74,20.0,0.0,0.0,0.0,ultra_processed,389
espresso coffee with milk,4,9.2,0.0,3.3,4.6,minimally_processed,222
thigh turkey braised,0,0.0,0.0,29.0,0.6,minimally_processed,106
scone pastry,61,49.9,2.5,5.7,23.7,processed,70
ground chicken braised,0,0.0,0.0,29.7,12.4,minimally_processed,95
powder peanut,14,16.1,8.9,27.0,51.5,processed,27
mixed fruit fruit cup in juice,50,22.0,1.3,0.3,0.0,processed,102
white chocolate,37,42.9,7.1,9.0,44.7,processed,28
cold brew coffee with cream,16,7.3,0.0,3.8,0.8,minimally_processed,224
garlic hummus,12,15.6,5.4,6.5,11.9,processed,63
snow pea canned,22,17.8,6.8,5.4,0.6,minimally_processed,159
turkey bacon chewy,0,0.1,0.0,28.8,40.2,processed,15
canned corn grilled,59,20.5,2.8,3.1,1.4,whole,156
spaghetti squash boiled,21,7.6,1.7,1.3,0.3,whole,113
kale chips salted,50,53.3,5.0,6.1,27.2,ultra_processed,28
multigrain cracker,60,67.2,6.3,11.5,9.1,processed,30
scallops seafood poached,0,2.8,0.0,19.6,1.8,minimally_processed,107
brown lentil canned,29,19.4,8.7,9.0,0.5,minimally_processed,194
black rice cooked,92,24.7,1.3,3.2,0.6,processed,171
americano coffee iced,13,10.1,0.0,3.5,3.0,minimally_processed,242
egg salad sandwich on white,61,47.4,5.2,27.2,28.9,processed,138
blueberry muffin,67,57.9,3.0,8.2,18.8,processed,52
pork sausage roasted,6,3.4,0.0,18.6,31.4,processed,80
tuna fish poached,0,0.0,0.0,24.4,5.3,minimally_processed,90
maitake mushroom steamed,15,3.1,1.6,2.8,0.3,whole,63
tortilla chips plain,67,50.8,3.6,9.7,29.3,ultra_processed,28
salmon fish poached,0,0.0,0.0,24.2,8.3,minimally_processed,107
low-fat yogurt,20,10.9,0.0,16.1,8.3,processed,183
cuban sandwich on white,55,49.0,5.5,26.8,22.0,processed,146
pearl barley pilaf,27,73.2,16.7,10.0,2.5,minimally_processed,141
chicken sandwich on rye,45,49.6,4.4,28.3,24.1,processed,146
club sandwich on wheat,62,49.3,5.9,31.0,27.4,processed,139
scrambled egg,0,0.7,0.0,12.5,10.0,minimally_processed,46
ground regular beef roasted,0,0.0,0.0,25.5,11.9,minimally_processed,94
sushi rice pilaf,91,30.0,0.7,2.6,0.4,processed,168
watercress leafy green sauteed,11,2.7,2.7,3.4,0.4,whole,31
ribeye beef grilled,0,0.0,0.0,24.4,6.0,minimally_processed,102
white potato steamed,79,20.2,3.9,2.7,7.3,whole,161
cashew nut,16,14.3,11.6,25.0,47.3,minimally_processed,25
ciabatta bread fresh,71,41.9,5.3,8.1,2.8,processed,26
elderberry berry frozen,26,7.9,2.2,1.1,0.3,whole,141
salmon fish baked,0,0.0,0.0,19.4,12.6,minimally_processed,96
tenderloin beef stewed,0,0.0,0.0,26.8,21.0,minimally_processed,103
shoulder pork grilled,0,1.7,0.0,22.6,34.2,minimally_processed,105
green tea iced,5,6.1,0.0,0.3,0.0,minimally_processed,231
broccoli cruciferous sauteed,13,6.3,2.9,2.4,0.2,whole,93
carrot root vegetable boiled,40,11.1,4.0,1.5,0.2,whole,117
white onion boiled,14,7.8,2.3,1.4,0.2,whole,148
fried egg,0,1.0,0.0,12.0,11.5,minimally_processed,48
almond nut,4,12.1,3.7,16.3,60.7,minimally_processed,26
ground regular beef smoked,0,0.0,0.0,22.5,17.5,minimally_processed,108
thigh chicken braised,0,0.0,0.0,26.5,9.0,minimally_processed,100
mandarin fruit cup in syrup,58,22.3,1.0,0.7,0.0,processed,102
carrot root vegetable pureed,31,10.6,4.0,1.0,0.1,whole,124
walnut nut,1,12.7,12.6,22.7,69.5,minimally_processed,25
bratwurst sausage poached,13,1.0,0.0,19.6,31.9,processed,85
scallops seafood smoked,0,1.9,0.0,15.0,1.4,minimally_processed,92
shrimp taco soft shell,57,30.2,3.4,14.2,17.6,processed,107
chicken quesadilla corn tortilla,53,30.7,3.6,16.7,18.8,processed,141
butter lettuce leafy green pureed,19,4.9,2.8,3.1,0.3,whole,32
sausage pork braised,0,0.3,0.0,24.4,13.4,minimally_processed,104
breast chicken pan-seared,0,0.0,0.0,30.8,7.2,minimally_processed,103
portobello mushroom,14,2.3,1.4,2.1,0.4,whole,73
tahini sauce,23,22.1,1.7,2.0,8.7,processed,27
grilled cheese sandwich on white,54,43.6,5.0,16.4,25.3,processed,164
brussels sprouts cruciferous boiled,13,4.4,3.1,3.4,0.4,whole,91
gala apple frozen,33,15.7,2.7,0.4,0.3,whole,166
quick oats porridge,54,69.5,11.6,15.0,7.3,minimally_processed,81
miso soup homemade,35,8.1,3.6,5.8,2.7,processed,258
soft pretzel,85,74.4,3.2,8.6,12.5,processed,25
pumpkin seed roasted,15,23.6,14.5,20.4,32.4,minimally_processed,29
blackberry berry,28,11.0,5.3,1.3,0.4,whole,151
lamb curry red,43,22.9,5.6,19.5,20.8,processed,269
protein energy bar,65,45.9,4.8,17.8,13.3,processed,63
mussels seafood pan-seared,0,2.3,0.0,23.1,0.7,minimally_processed,107
pinto bean canned,35,25.4,7.1,9.5,1.0,minimally_processed,174
papaya tropical fruit,62,12.9,3.3,1.1,0.3,whole,155
shrimp burrito whole wheat tortilla,57,57.7,7.9,34.8,13.2,processed,268
2% milk,38,8.5,1.6,2.7,1.0,minimally_processed,226
multigrain rice cake,82,87.7,0.9,6.9,2.9,processed,8
breast turkey roasted,0,0.1,0.0,28.0,5.2,minimally_processed,96
bell orange pepper roasted,12,5.6,1.7,1.1,0.3,whole,162
granny smith apple,39,15.6,2.5,0.4,0.2,whole,183
enoki mushroom steamed,10,3.7,1.4,2.2,0.5,whole,66
mustard greens leafy green boiled,11,3.7,2.1,2.6,0.4,whole,32
italian sausage poached,7,3.8,0.0,15.4,18.4,processed,87
chicken burrito whole wheat tortilla,47,63.6,6.3,30.0,23.9,processed,235
arugula leafy green roasted,10,3.9,2.3,3.4,0.4,whole,30
cherry tomato sun-dried,19,4.6,1.3,0.9,0.2,whole,174
black coffee iced,18,5.8,0.0,3.5,4.4,minimally_processed,223
shiitake mushroom steamed,14,3.0,1.3,2.4,0.5,whole,66
yukon gold potato roasted,70,19.0,3.0,1.6,0.6,whole,146
leek onion grilled,19,9.4,2.4,1.3,0.2,whole,166
shiitake mushroom roasted,15,3.1,2.0,3.4,0.4,whole,72
golden delicious apple dried,39,15.1,2.7,0.5,0.2,whole,172
sweet potato roasted,74,24.0,3.4,2.4,3.5,processed,136
nectarine stone fruit canned,32,9.4,1.4,0.8,0.4,whole,142
bell yellow pepper pureed,11,4.9,2.0,1.5,0.3,whole,152
oysters seafood roasted,0,0.6,0.0,24.1,1.8,minimally_processed,106
honeycrisp apple dried,30,12.4,2.8,0.2,0.2,whole,190
flax seed roasted,14,21.3,11.4,15.5,40.2,minimally_processed,28
green smoothie,46,15.9,3.2,6.9,2.0,processed,248
iceberg leafy green steamed,12,4.3,1.8,1.8,0.5,whole,31
ground turkey grilled,0,0.2,0.0,28.6,4.5,minimally_processed,108
cranberry juice from concentrate,44,12.3,0.1,0.9,0.1,processed,225
granola energy bar,56,64.7,5.2,10.4,24.0,processed,64
acorn squash boiled,60,6.3,2.3,1.5,0.2,whole,113
enoki mushroom,12,3.2,1.0,2.2,0.3,whole,65
beef instant noodle cup,67,53.7,2.0,10.8,15.1,ultra_processed,78
gala apple,33,13.9,2.8,0.2,0.1,whole,171
mcintosh apple dried,40,13.7,2.0,0.4,0.2,whole,190
kernels corn,53,19.2,2.2,3.9,1.2,processed,152
parsnip root vegetable pureed,44,10.4,4.0,1.4,0.1,whole,133
honeycrisp apple baked,37,13.9,2.8,0.3,0.1,whole,177
wing chicken baked,0,0.0,0.0,25.1,10.9,minimally_processed,99
vanilla pudding,70,24.6,0.1,3.7,5.7,processed,106
raspberry berry frozen,33,10.6,5.5,1.4,0.7,whole,151
protein smoothie,40,28.3,3.5,12.2,0.5,processed,232
chicken sausage stewed,4,4.2,0.0,18.1,29.8,processed,78
ground lean beef roasted,0,0.0,0.0,21.5,23.8,minimally_processed,107
guacamole avocado ripe,14,8.1,6.0,2.5,15.6,whole,142
cabbage cruciferous pickled,20,6.6,3.5,2.8,0.3,whole,97
yogurt covered pretzel,70,77.6,2.9,8.9,8.9,processed,30
dr pepper soda,50,1.3,0.0,0.0,0.0,ultra_processed,326
plain tempeh,4,9.4,0.0,18.7,10.8,processed,91
green apple frozen,30,13.8,3.4,0.3,0.2,whole,184
carrot root vegetable pickled,35,9.7,2.3,0.8,0.1,whole,133
center cut bacon chewy,0,0.4,0.0,28.2,47.6,processed,14
mango tropical fruit frozen,60,17.7,3.5,1.3,0.5,whole,149
basmati rice pilaf,79,23.9,1.5,2.7,0.8,processed,150
yukon gold potato mashed,46,22.8,3.4,3.0,2.8,whole,145
chicken noodle soup homemade,53,10.6,1.1,11.3,6.7,processed,268
pear canned fruit in juice,57,22.6,2.5,0.9,0.1,processed,116
oolong tea unsweetened,10,0.7,0.0,0.3,0.0,minimally_processed,248
ground lean beef grilled,0,0.0,0.0,23.4,7.7,minimally_processed,93
oil-popped popcorn,61,59.6,13.6,10.9,27.0,processed,29
breast chicken roasted,0,0.0,0.0,27.1,13.5,minimally_processed,99
trout fish smoked,0,0.0,0.0,22.2,1.8,minimally_processed,92
scotch barley cooked,34,70.4,15.7,11.5,2.4,minimally_processed,165
beet root vegetable boiled,48,11.9,3.5,1.4,0.2,whole,130
poblano pepper boiled,10,4.1,2.2,1.0,0.3,whole,146
whole avocado,12,8.6,6.6,2.1,15.7,whole,164
halibut fish braised,0,0.0,0.0,18.7,9.8,minimally_processed,104
peach stone fruit dried,39,9.2,2.3,1.1,0.3,whole,154
cheddar cheese,0,2.5,0.0,25.0,15.5,processed,27
cherry tomato canned,13,4.8,1.3,1.2,0.3,processed,181
